sample_index,sample_name,eval_split,sequence,keyframe,frame_id,index,height,width,median_scaling_applied,raw_npy_path,depth_png16_path,depth_vis_path
10,sequence6_keyframe4_frame001034,endovis,6,4,1034,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame001034.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame001034.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame001034.png
11,sequence2_keyframe4_frame000002,endovis,2,4,2,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence2_keyframe4_frame000002.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence2_keyframe4_frame000002.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence2_keyframe4_frame000002.png
12,sequence6_keyframe4_frame000602,endovis,6,4,602,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame000602.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame000602.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame000602.png
13,sequence3_keyframe4_frame000025,endovis,3,4,25,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000025.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000025.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000025.png
14,sequence4_keyframe4_frame000095,endovis,4,4,95,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000095.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000095.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000095.png
15,sequence5_keyframe4_frame000058,endovis,5,4,58,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000058.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000058.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000058.png
16,sequence6_keyframe4_frame001058,endovis,6,4,1058,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame001058.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame001058.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame001058.png
17,sequence7_keyframe4_frame000952,endovis,7,4,952,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence7_keyframe4_frame000952.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence7_keyframe4_frame000952.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence7_keyframe4_frame000952.png
18,sequence1_keyframe3_frame000205,endovis,1,3,205,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000205.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000205.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000205.png
19,sequence5_keyframe4_frame000373,endovis,5,4,373,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000373.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000373.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000373.png
20,sequence3_keyframe4_frame000035,endovis,3,4,35,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000035.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000035.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000035.png
21,sequence5_keyframe4_frame000150,endovis,5,4,150,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000150.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000150.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000150.png
22,sequence6_keyframe4_frame000026,endovis,6,4,26,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame000026.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame000026.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame000026.png
23,sequence4_keyframe4_frame000155,endovis,4,4,155,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000155.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000155.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000155.png
24,sequence3_keyframe4_frame000040,endovis,3,4,40,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000040.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000040.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000040.png
25,sequence6_keyframe4_frame000015,endovis,6,4,15,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame000015.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame000015.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame000015.png
26,sequence3_keyframe4_frame000670,endovis,3,4,670,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000670.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000670.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000670.png
27,sequence1_keyframe3_frame000074,endovis,1,3,74,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000074.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000074.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000074.png
28,sequence3_keyframe4_frame000152,endovis,3,4,152,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000152.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000152.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000152.png
29,sequence1_keyframe3_frame000350,endovis,1,3,350,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000350.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000350.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000350.png
30,sequence6_keyframe4_frame000698,endovis,6,4,698,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame000698.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame000698.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame000698.png
31,sequence7_keyframe4_frame000268,endovis,7,4,268,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence7_keyframe4_frame000268.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence7_keyframe4_frame000268.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence7_keyframe4_frame000268.png
32,sequence2_keyframe4_frame000224,endovis,2,4,224,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence2_keyframe4_frame000224.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence2_keyframe4_frame000224.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence2_keyframe4_frame000224.png
33,sequence1_keyframe3_frame000214,endovis,1,3,214,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000214.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000214.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000214.png
34,sequence2_keyframe4_frame001223,endovis,2,4,1223,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence2_keyframe4_frame001223.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence2_keyframe4_frame001223.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence2_keyframe4_frame001223.png
35,sequence4_keyframe4_frame000008,endovis,4,4,8,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000008.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000008.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000008.png
36,sequence4_keyframe4_frame000010,endovis,4,4,10,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000010.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000010.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000010.png
37,sequence5_keyframe4_frame000219,endovis,5,4,219,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000219.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000219.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000219.png
38,sequence4_keyframe4_frame000150,endovis,4,4,150,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000150.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000150.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000150.png
39,sequence5_keyframe4_frame000055,endovis,5,4,55,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000055.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000055.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000055.png
40,sequence4_keyframe4_frame000182,endovis,4,4,182,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000182.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000182.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000182.png
41,sequence5_keyframe4_frame000114,endovis,5,4,114,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000114.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000114.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000114.png
42,sequence3_keyframe4_frame000306,endovis,3,4,306,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000306.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000306.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000306.png
43,sequence1_keyframe3_frame000365,endovis,1,3,365,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000365.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000365.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000365.png
44,sequence5_keyframe4_frame000135,endovis,5,4,135,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000135.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000135.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000135.png
45,sequence7_keyframe4_frame000534,endovis,7,4,534,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence7_keyframe4_frame000534.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence7_keyframe4_frame000534.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence7_keyframe4_frame000534.png
46,sequence3_keyframe4_frame000712,endovis,3,4,712,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000712.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000712.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000712.png
47,sequence1_keyframe3_frame000058,endovis,1,3,58,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000058.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000058.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000058.png
48,sequence6_keyframe4_frame001274,endovis,6,4,1274,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame001274.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame001274.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame001274.png
49,sequence5_keyframe4_frame000086,endovis,5,4,86,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000086.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000086.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000086.png
50,sequence6_keyframe4_frame001250,endovis,6,4,1250,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame001250.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame001250.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame001250.png
51,sequence5_keyframe4_frame000028,endovis,5,4,28,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000028.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000028.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000028.png
52,sequence2_keyframe4_frame000113,endovis,2,4,113,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence2_keyframe4_frame000113.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence2_keyframe4_frame000113.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence2_keyframe4_frame000113.png
53,sequence7_keyframe4_frame000040,endovis,7,4,40,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence7_keyframe4_frame000040.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence7_keyframe4_frame000040.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence7_keyframe4_frame000040.png
54,sequence6_keyframe4_frame001226,endovis,6,4,1226,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame001226.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame001226.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame001226.png
55,sequence1_keyframe3_frame000250,endovis,1,3,250,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000250.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000250.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000250.png
56,sequence7_keyframe4_frame000600,endovis,7,4,600,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence7_keyframe4_frame000600.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence7_keyframe4_frame000600.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence7_keyframe4_frame000600.png
57,sequence2_keyframe4_frame001704,endovis,2,4,1704,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence2_keyframe4_frame001704.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence2_keyframe4_frame001704.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence2_keyframe4_frame001704.png
58,sequence3_keyframe4_frame000138,endovis,3,4,138,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000138.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000138.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000138.png
